lat,lon,eal_score,risk_score,hurricane_score,coastal_flood_score,inland_flood_score,tornado_score,wildfire_score,wind_score,surge
30.4601,-82.9608,29.097,43.012,85.233,0.002,18.92,29.28,64.415,10.362,8.388
30.4601,-82.9408,29.132,43.035,85.238,0.006,18.961,29.302,64.432,10.379,8.286
30.4601,-82.9208,29.235,43.107,85.251,0.018,19.085,29.372,64.485,10.431,8.19
30.4601,-82.9008,29.47,43.27,85.28,0.047,19.371,29.54,64.61,10.561,8.1
30.4601,-82.8808,29.917,43.576,85.329,0.101,19.925,29.876,64.857,10.835,8.016
30.4601,-82.8608,30.666,44.089,85.403,0.189,20.873,30.475,65.294,11.345,7.941
30.4601,-82.8408,31.813,44.871,85.501,0.319,22.358,31.453,65.996,12.214,7.873
30.4601,-82.8208,33.444,45.982,85.619,0.491,24.518,32.933,67.044,13.578,7.813
30.4601,-82.8008,35.602,47.451,85.746,0.696,27.438,35.004,68.495,15.549,7.762
30.4601,-82.7808,38.241,49.248,85.87,0.913,31.075,37.662,70.338,18.143,7.719
30.4601,-82.7608,41.187,51.253,85.975,1.116,35.206,40.758,72.469,21.223,7.686
30.4601,-82.7408,44.162,53.269,86.046,1.277,39.453,44.008,74.694,24.503,7.661
30.4601,-82.7208,46.872,55.08,86.073,1.386,43.4,47.083,76.798,27.636,7.645
30.4601,-82.7008,49.094,56.514,86.051,1.447,46.735,49.723,78.616,30.341,7.638
30.4601,-82.6808,50.719,57.469,85.976,1.474,49.308,51.792,80.069,32.457,7.64
30.4601,-82.6608,51.724,57.899,85.841,1.485,51.103,53.265,81.152,33.941,7.651
30.4601,-82.6408,52.125,57.782,85.634,1.497,52.175,54.175,81.905,34.812,7.67
30.4601,-82.6208,51.936,57.081,85.336,1.518,52.588,54.569,82.376,35.104,7.697
30.4601,-82.6008,51.146,55.737,84.921,1.554,52.385,54.482,82.608,34.84,7.731
30.4601,-82.5808,49.717,53.665,84.359,1.603,51.583,53.928,82.633,34.018,7.772
30.4601,-82.5608,47.604,50.78,83.617,1.657,50.187,52.911,82.473,32.626,7.82
30.4601,-82.5408,44.793,47.043,82.677,1.701,48.217,51.445,82.151,30.671,7.874
30.4601,-82.5209,41.355,42.53,81.546,1.716,45.755,49.589,81.696,28.221,7.932
30.4601,-82.5009,37.493,37.495,80.28,1.684,42.975,47.474,81.155,25.435,7.994
30.4601,-82.4809,33.538,32.356,78.975,1.594,40.136,45.297,80.59,22.565,8.06
30.4601,-82.4609,29.863,27.589,77.749,1.451,37.518,43.271,80.065,19.89,8.127
30.4601,-82.4409,26.756,23.564,76.699,1.272,35.329,41.563,79.625,17.627,8.195
